,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
65,2018-01-22,1444.9216895946756,1238.4532217464111,1441.8803001853719,1444.9216895946756,1444.9216895946756,-102.901743527162,-102.901743527162,-102.901743527162,37.24389010817667,37.24389010817667,37.24389010817667,-3.358388697149315,-3.358388697149315,-3.358388697149315,-136.7872449381894,-136.7872449381894,-136.7872449381894,0.0,0.0,0.0,1342.0199460675137
66,2018-01-23,1449.388509687833,1253.5262724668394,1459.416042468543,1449.388509687833,1449.388509687833,-96.20752831572717,-96.20752831572717,-96.20752831572717,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474559856,3.029222474559856,3.029222474559856,-136.48064089846372,-136.48064089846372,-136.48064089846372,0.0,0.0,0.0,1353.1809813721059
67,2018-01-24,1453.8553297809901,1261.716163533613,1466.863584859996,1453.8553297809901,1453.8553297809901,-92.80521446047051,-92.80521446047051,-92.80521446047051,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608060797,6.089135608060797,6.089135608060797,-136.138240176708,-136.138240176708,-136.138240176708,0.0,0.0,0.0,1361.0501153205196
68,2018-01-25,1458.3221498741475,1260.0017435540276,1467.6290376437407,1458.3221498741475,1458.3221498741475,-92.86119333674172,-92.86119333674172,-92.86119333674172,37.24389010817667,37.24389010817667,37.24389010817667,5.6223998620014415,5.6223998620014415,5.6223998620014415,-135.72748330691982,-135.72748330691982,-135.72748330691982,0.0,0.0,0.0,1365.4609565374058
69,2018-01-26,1462.7889699673049,1264.4990777954322,1458.8635864305102,1462.7889699673049,1462.7889699673049,-100.0475863132096,-100.0475863132096,-100.0475863132096,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110388616,-2.071396110388616,-2.071396110388616,-135.22008031099767,-135.22008031099767,-135.22008031099767,0.0,0.0,0.0,1362.7413836540952
70,2018-01-29,1476.1894302467767,1274.1261981802656,1480.0736930078688,1476.1894302467767,1476.1894302467767,-99.03457637806687,-99.03457637806687,-99.03457637806687,37.24389010817667,37.24389010817667,37.24389010817667,-3.358388697154918,-3.358388697154918,-3.358388697154918,-132.92007778908862,-132.92007778908862,-132.92007778908862,0.0,0.0,0.0,1377.1548538687098
71,2018-01-30,1480.6562503399343,1286.0047870048977,1488.5866472847556,1480.6562503399343,1480.6562503399343,-91.5887452280434,-91.5887452280434,-91.5887452280434,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745650542,3.0292224745650542,3.0292224745650542,-131.86185781078512,-131.86185781078512,-131.86185781078512,0.0,0.0,0.0,1389.067505111891
72,2018-01-31,1485.1230704330915,1300.1775589317813,1503.0163369712604,1485.1230704330915,1485.1230704330915,-87.3272671174254,-87.3272671174254,-87.3272671174254,37.24389010817667,37.24389010817667,37.24389010817667,6.08913560806235,6.08913560806235,6.08913560806235,-130.66029283366444,-130.66029283366444,-130.66029283366444,0.0,0.0,0.0,1397.795803315666
73,2018-02-01,1489.5898905262488,1296.9199086412132,1502.2657604377628,1489.5898905262488,1489.5898905262488,-86.46211493396822,-86.46211493396822,-86.46211493396822,37.24389010817667,37.24389010817667,37.24389010817667,5.622399861999287,5.622399861999287,5.622399861999287,-129.32840490414418,-129.32840490414418,-129.32840490414418,0.0,0.0,0.0,1403.1277755922806
74,2018-02-02,1494.056710619406,1299.525226835688,1509.9974838255398,1494.056710619406,1494.056710619406,-92.71427764742528,-92.71427764742528,-92.71427764742528,37.24389010817667,37.24389010817667,37.24389010817667,-2.0713961103916883,-2.0713961103916883,-2.0713961103916883,-127.88677164521027,-127.88677164521027,-127.88677164521027,0.0,0.0,0.0,1401.3424329719808
